City,Town,Level,ID,Name,Mark,Address,Tel,IP
新北市,貢寮區,國小,14809,市立豐珠國(中)小,偏遠,[228]新北市貢寮區美豐里雞母嶺街6-6號,(02)24903727,http://www.fjjh.ntpc.edu.tw
新北市,鶯歌區,國小,14621,市立二橋國小,偏遠,[239]新北市鶯歌區二橋里中正三路106號,(02)26792364,http://www.eqes.ntpc.edu.tw
新北市,鶯歌區,國小,14622,市立中湖國小,偏遠,[239]新北市鶯歌區中湖里中湖街25號,(02)86775640,http://www.chues.ntpc.edu.tw
新北市,三峽區,國小,14625,市立大埔國小,偏遠,[237]新北市三峽區大埔路130號,(02)26712523,http://www.tpps.ntpc.edu.tw
新北市,三峽區,國小,14626,市立民義國小,偏遠,[237]新北市三峽區嘉添里白雞路40號,(02)26711895,http://www.myes.ntpc.edu.tw/default.asp
新北市,三峽區,國小,14627,市立成福國小,偏遠,[237]新北市三峽區溪東里溪東路213號,(02)86764945,http://www.chenfu.ntpc.edu.tw
新北市,三峽區,國小,14628,市立大成國小,偏遠,[237]新北市三峽區成福路251巷二號,(02)26726521,http://www.dces.ntpc.edu.tw
新北市,三峽區,國小,14629,市立建安國小,偏遠,[237]新北市三峽區安坑里建安路67號,(02)26726783,http://www.caes.ntpc.edu.tw
新北市,三峽區,國小,14630,市立插角國小,偏遠,[237]新北市三峽區插角里插角路39號,(02)26720230,http://www.cgps.ntpc.edu.tw
新北市,三峽區,國小,14631,市立有木國小,偏遠,[237]新北市三峽區有木里131號,(02)26720067,http://www.ymps.ntpc.edu.tw
新北市,三峽區,國小,14632,市立五寮國小,偏遠,[237]新北市三峽區五寮里69號,(02)26720298,http://www.wres.ntpc.edu.tw
新北市,汐止區,國小,14652,市立保長國小,偏遠,[221]新北市汐止區大同路三段553號,(02)86482502,http://www.bjes.ntpc.edu.tw
新北市,汐止區,國小,14656,市立東山國小,偏遠,[221]新北市汐止區東山里汐平路二段76號,(02)26416170,http://www.dsps.ntpc.edu.tw
新北市,萬里區,國小,14658,市立萬里國小,偏遠,[207]新北市萬里區瑪鋉路18號,(02)24922034,http://www.wlps.ntpc.edu.tw
新北市,萬里區,國小,14659,市立野柳國小,偏遠,[207]新北市萬里區野柳里港東路167號,(02)24922512,http://www.ylps.ntpc.edu.tw
新北市,萬里區,國小,14660,市立大鵬國小,偏遠,[207]新北市萬里區大鵬里加投路14號,(02)24988131,http://www.tpes.ntpc.edu.tw
新北市,萬里區,國小,14661,市立大坪國小,偏遠,[207]新北市萬里區雙興里大坪路1號,(02)24929461,http://www.dpps.ntpc.edu.tw
新北市,萬里區,國小,14662,市立崁腳國小,偏遠,[207]新北市萬里區崁?里崁?路59號,(02)24922037,http://www.kjps.ntpc.edu.tw
新北市,金山區,國小,14663,市立金山國小,偏遠,[208]新北市金山區中山路234號,(02)24981125,http://www.tpcses.ntpc.edu.tw
新北市,金山區,國小,14664,市立中角國小,偏遠,[208]新北市金山區萬壽里海興路49號,(02)24982413,http://www.jjps.ntpc.edu.tw
新北市,金山區,國小,14665,市立三和國小,偏遠,[208]新北市金山區重和里十一鄰六股林口38號,(02)24080417,http://www.sanho.ntpc.edu.tw
新北市,新店區,國小,14667,市立直潭國小,偏遠,[231]新北市新店區直潭路92號,(02)26667278,http://www.jtes.ntpc.edu.tw
新北市,新店區,國小,14669,市立雙峰國小,偏遠,[231]新北市新店區北宜路三段66號,(02)22174543,http://www.sfes.ntpc.edu.tw
新北市,新店區,國小,14674,市立屈尺國小,偏遠,[231]新北市新店區屈尺路55號,(02)26667490,http://www.ccyes.ntpc.edu.tw
新北市,新店區,國小,14675,市立龜山國小,偏遠,[231]新北市新店區新烏路三段99巷10號,(02)26667317,http://www.gses.ntpc.edu.tw
新北市,深坑區,國小,14676,市立深坑國小,偏遠,[222]新北市深坑區深坑里文化街45號,(02)26624675,http://www.tskes.ntpc.edu.tw
新北市,石碇區,國小,14677,市立石碇國小,偏遠,[223]新北市石碇區石碇里石碇西街15號,(02)26631244,http://www.stes.ntpc.edu.tw
新北市,石碇區,國小,14678,市立和平國小,偏遠,[223]新北市石碇區隆盛里八分寮5號,(02)26631405,http://www.hpps.ntpc.edu.tw
新北市,石碇區,國小,14679,市立永定國小,偏遠,[223]新北市石碇區永定里蚯蚓坑20號,(02)26631288,http://www.tydes.ntpc.edu.tw
新北市,石碇區,國小,14680,市立雲海國小,偏遠,[223]新北市石碇區北宜路五段坑內巷1號,(02)26651715,http://www.whies.ntpc.edu.tw
新北市,坪林區,國小,14682,市立坪林國小,偏遠,[232]新北市坪林區坪林里坪林街114號,(02)26656213,http://www.plnes.ntpc.edu.tw
新北市,烏來區,國小,14684,市立烏來國(中)小,偏遠,[233]新北市烏來區啦卡路5號,(02)26616482,http://www.wups.ntpc.edu.tw
新北市,烏來區,國小,14685,市立福山國小,特偏,[233]新北市烏來區福山里李茂岸56號,(02)26616124,http://www.fses.ntpc.edu.tw
新北市,瑞芳區,國小,14686,市立瑞芳國小,偏遠,[224]新北市瑞芳區龍川里中山路2號,(02)24972058,http://www.rfes.ntpc.edu.tw
新北市,瑞芳區,國小,14687,市立義方國小,偏遠,[224]新北市瑞芳區龍山里逢甲路360號,(02)24970961,http://www.jfps.ntpc.edu.tw
新北市,瑞芳區,國小,14688,市立瑞柑國小,偏遠,[224]新北市瑞芳區明燈路一段18巷13號,(02)24971009,http://www.rges.ntpc.edu.tw
新北市,瑞芳區,國小,14689,市立瑞濱國小,偏遠,[224]新北市瑞芳區瑞濱路34號,(02)24978184,http://www.jpes.ntpc.edu.tw
新北市,瑞芳區,國小,14690,市立九份國小,偏遠,[224]新北市瑞芳區永慶里崙頂路145號,(02)24972263,http://www.jfes.ntpc.edu.tw
新北市,瑞芳區,國小,14691,市立瓜山國小,偏遠,[224]新北市瑞芳區石山里五號路306號,(02)24962036,http://www.gsps.ntpc.edu.tw
新北市,瑞芳區,國小,14692,市立濂洞國小,偏遠,[224]新北市瑞芳區?洞里洞頂路101巷80號,(02)24961330,http://163.20.89.1
